29.023594000	127.0.0.1	3104	38940	132545	3397	641
29.023602000	127.0.0.1	3103	46886	150904	17785	641
32.414714000	127.0.0.1	46886	3103	24231	171412	161
34.187636000	127.0.0.1	46886	3103	30351	181022	215
34.245188000	127.0.0.1	3103	46886	181022	30351	641
38.242868000	127.0.0.1	3103	46886	205375	44806	641
42.094228000	127.0.0.1	46886	3103	57466	230365	256
47.833418000	127.0.0.1	3104	38940	245392	5620	643
49.077587000	127.0.0.1	3103	46886	271467	82132	643
54.657353000	127.0.0.1	3103	46886	305531	101392	643
56.279731000	127.0.0.1	46886	3103	106739	317105	162
56.439412000	127.0.0.1	46886	3103	107427	317748	161
57.517597000	127.0.0.1	3104	38940	304528	6673	643
60.141669000	127.0.0.1	3104	38940	320598	7024	643
63.707822000	127.0.0.1	46886	3103	132660	362100	204
64.720574000	127.0.0.1	46886	3103	136367	368526	161
65.391992000	127.0.0.1	46886	3103	138309	372384	323
70.904781000	127.0.0.1	46886	3103	157539	405810	162
72.049388000	127.0.0.1	3104	38940	393234	8311	642
73.092714000	127.0.0.1	46886	3103	165117	419307	162
74.384048000	127.0.0.1	3104	38940	407378	8662	643
75.555593000	127.0.0.1	38940	3104	8662	416376	117
77.934155000	127.0.0.1	46886	3103	181712	448878	217
80.780587000	127.0.0.1	3104	38940	447876	9364	643
83.834802000	127.0.0.1	46886	3103	202093	484878	162
86.453895000	127.0.0.1	3103	46886	499664	211733	643
89.990580000	127.0.0.1	46886	3103	223308	522803	162
90.887492000	127.0.0.1	3103	46886	526661	227217	643
93.412181000	127.0.0.1	3103	46886	542087	236087	643
99.270945000	127.0.0.1	46886	3103	255818	579370	204
101.391520000	127.0.0.1	3104	38940	572582	11704	643
103.608897000	127.0.0.1	3104	38940	586080	11938	643
107.877547000	127.0.0.1	46886	3103	284794	631440	162
109.139370000	127.0.0.1	3104	38940	618862	12640	643
112.418503000	127.0.0.1	46886	3103	302015	659078	162
114.251852000	127.0.0.1	46886	3103	308226	669364	205
114.389520000	127.0.0.1	3103	46886	669364	308226	642
117.413823000	127.0.0.1	46886	3103	320213	689933	260
121.666964000	127.0.0.1	3104	38940	695359	14044	643
122.510855000	127.0.0.1	3104	38940	700501	14161	643
122.676116000	127.0.0.1	46886	3103	339679	722074	206
126.537435000	127.0.0.1	46886	3103	354646	745217	162
126.584045000	127.0.0.1	3104	38940	725572	14629	643
128.184037000	127.0.0.1	3104	38940	735215	14863	643
128.931980000	127.0.0.1	3103	46886	758074	364284	643
133.713863000	127.0.0.1	46886	3103	380836	789573	162
134.104766000	127.0.0.1	46886	3103	380836	791502	162
138.164600000	127.0.0.1	3104	38940	798216	15916	643
138.236571000	127.0.0.1	3104	38940	795644	15916	1286
138.791591000	127.0.0.1	3103	46886	818504	400695	643
141.732586000	127.0.0.1	38940	3104	16267	818147	117
141.755581000	127.0.0.1	3103	46886	838435	410590	643
142.245588000	127.0.0.1	38940	3104	16267	818147	234
142.308616000	127.0.0.1	3103	46886	835863	410590	3215
142.308630000	127.0.0.1	46886	3103	410104	836506	2044
142.371605000	127.0.0.1	3104	38940	816861	16384	3858
143.267605000	127.0.0.1	38940	3104	16267	818147	351
143.395601000	127.0.0.1	3103	46886	835863	410590	3215
143.459597000	127.0.0.1	46886	3103	410104	836506	2044
143.588590000	127.0.0.1	3104	38940	816861	16384	3858
145.316603000	127.0.0.1	38940	3104	16267	818147	468
145.507624000	127.0.0.1	3103	46886	835863	410590	3215
145.699616000	127.0.0.1	46886	3103	410104	836506	2044
146.019602000	127.0.0.1	3104	38940	816861	16384	3858
149.667601000	127.0.0.1	38940	3104	16267	818147	468
149.667612000	127.0.0.1	3103	46886	835863	410590	3215
150.180601000	127.0.0.1	46886	3103	410590	855617	1558
151.203629000	127.0.0.1	3104	38940	818147	16975	2572
154.522222000	127.0.0.1	37554	3104	11065	18402	161
