31.566445000	127.0.0.1	3104	36442	135104	3397	641
31.578443000	127.0.0.1	3103	45304	160110	16879	641
32.330454000	127.0.0.1	45304	3103	16879	164597	117
34.974537000	127.0.0.1	45304	3103	22913	180618	161
35.834902000	127.0.0.1	3104	36442	159458	3982	641
36.520031000	127.0.0.1	45304	3103	27977	190229	161
41.383989000	127.0.0.1	3104	36442	193423	4567	641
42.237617000	127.0.0.1	3104	36442	198548	4684	640
43.177473000	127.0.0.1	3103	45304	229322	51220	641
44.440185000	127.0.0.1	45304	3103	54919	238296	202
48.305481000	127.0.0.1	45304	3103	67844	262007	161
48.454577000	127.0.0.1	45304	3103	68649	262648	161
56.983501000	127.0.0.1	3103	45304	313414	97977	643
60.438533000	127.0.0.1	45304	3103	109459	334629	162
60.447242000	127.0.0.1	3103	45304	334629	109459	643
65.732058000	127.0.0.1	3104	36442	341767	7375	643
66.043171000	127.0.0.1	45304	3103	128644	369985	161
68.454199000	127.0.0.1	45304	3103	136685	384773	162
71.662346000	127.0.0.1	45304	3103	148089	404699	161
77.137274000	127.0.0.1	3103	45304	436199	167176	643
77.787442000	127.0.0.1	36442	3104	8662	416980	117
78.905103000	127.0.0.1	45304	3103	172963	448416	205
80.394553000	127.0.0.1	3103	45304	456129	178658	643
80.604638000	127.0.0.1	3104	36442	432409	9130	643
82.707058000	127.0.0.1	3103	45304	470271	186685	643
85.857298000	127.0.0.1	45304	3103	197050	490843	162
86.508222000	127.0.0.1	3103	45304	493415	199642	643
91.409839000	127.0.0.1	45304	3103	216040	524915	162
101.235393000	127.0.0.1	45304	3103	249701	585342	162
104.558016000	127.0.0.1	45304	3103	261537	605914	161
107.043166000	127.0.0.1	3103	45304	619414	270829	643
108.171605000	127.0.0.1	3103	45304	626487	274684	643
108.620101000	127.0.0.1	3103	45304	629059	276183	643
110.895981000	127.0.0.1	3103	45304	643201	284216	643
116.492845000	127.0.0.1	45304	3103	302387	678559	162
122.328785000	127.0.0.1	45304	3103	323349	713917	260
123.191752000	127.0.0.1	45304	3103	327206	719061	162
125.037383000	127.0.0.1	3103	45304	728705	334236	642
135.524336000	127.0.0.1	3104	36442	767988	15331	643
138.146373000	127.0.0.1	3103	45304	809047	382454	642
139.091440000	127.0.0.1	3104	36442	789821	15799	643
140.144533000	127.0.0.1	3104	36442	796251	15916	643
143.493109000	127.0.0.1	3104	36442	816806	16267	642
144.663146000	127.0.0.1	45304	3103	405258	849517	162
144.765114000	127.0.0.1	3103	45304	849517	405258	643
144.956724000	127.0.0.1	45304	3103	406785	852089	261
145.406856000	127.0.0.1	3103	45304	853375	409617	643
145.485540000	127.0.0.1	45304	3103	409293	853375	162
145.603443000	127.0.0.1	3104	36442	829012	16501	643
146.369521000	127.0.0.1	45304	3103	412047	860448	162
147.071900000	127.0.0.1	45304	3103	414401	865591	205
148.240852000	127.0.0.1	45304	3103	419032	872655	477
148.430285000	127.0.0.1	3104	36442	847007	16852	642
150.154461000	127.0.0.1	36442	3104	16969	855353	117
150.282464000	127.0.0.1	3104	36442	854069	16969	3210
150.346480000	127.0.0.1	45304	3103	423614	880359	2249
150.410486000	127.0.0.1	3103	45304	879717	424262	3852
150.666455000	127.0.0.1	36442	3104	16969	855353	117
151.371462000	127.0.0.1	3104	36442	854069	16969	3210
151.434458000	127.0.0.1	45304	3103	423614	880359	2249
151.499470000	127.0.0.1	3103	45304	879717	424262	3852
151.691480000	127.0.0.1	36442	3104	16969	855353	117
153.482472000	127.0.0.1	3104	36442	854069	16969	3210
153.610489000	127.0.0.1	45304	3103	423614	880359	2249
153.674471000	127.0.0.1	3103	45304	879717	424262	3852
153.738468000	127.0.0.1	36442	3104	16969	855353	117
157.898472000	127.0.0.1	3104	36442	854069	16969	3210
157.898481000	127.0.0.1	36442	3104	16969	855353	117
157.898490000	127.0.0.1	45304	3103	423614	880359	2249
158.300520000	127.0.0.1	3104	36442	870773	17560	2
158.411460000	127.0.0.1	3103	45304	880359	445027	3210
